sample_id,caption
coco_3e6c76b721c69751fea2c2ba,smoke coco scene 139
coco_52b66cbdf6089f4a0dbb9ec2,smoke coco scene 335
coco_94641d02c872ab5eb73a48ad,smoke coco scene 9
coco_e2c17fffd9bd76388a893932,smoke coco scene 168
coco_6f54fee10201464f77ec6a70,smoke coco scene 101
coco_258d8754d144b2cc7bdfac92,smoke coco scene 255
coco_a87bddecc5c692320de7786f,smoke coco scene 243
coco_0189f7e95ab4c57a26bc8fcb,smoke coco scene 51
coco_27156729b41d68fba7f7a851,smoke coco scene 340
coco_14dc823c5ef0c6a8b82c2865,smoke coco scene 179
coco_f2f58e369ad7b5f800f86d62,smoke coco scene 300
coco_5392c8d8c491137a7320e45f,smoke coco scene 372
coco_27fa996ba374914db16b61ec,smoke coco scene 190
coco_c180aa588126ac51403b5a09,smoke coco scene 69
coco_12e951d5bd3ddd6b4eaa4c5f,smoke coco scene 29
coco_69e79b222abb23554307258a,smoke coco scene 384
coco_2b4650c4108c6ee161b6d8c5,smoke coco scene 63
coco_f08a84e205e908a15be6815b,smoke coco scene 389
coco_b77b79c21a8d19837dcf6536,smoke coco scene 3
coco_4da3011156d8c21fe66ae3f5,smoke coco scene 66
coco_2b1b339cd9b0529aee89a16a,smoke coco scene 103
coco_da5dc0ba48934ff193e187de,smoke coco scene 150
coco_7b4cbabcff890a586746feb6,smoke coco scene 94
coco_82e6e10c5fdc5023f822d4b4,smoke coco scene 49
coco_b82603efdd95ae5629c85df7,smoke coco scene 362
coco_97e59fa42343f25a4493acc2,smoke coco scene 40
coco_b9b2cacf947f244d07c82ed1,smoke coco scene 188
coco_47a927cc65f925009aa84a28,smoke coco scene 216
coco_415cc750e410043556b7e133,smoke coco scene 174
coco_e824c0589ef0cc5efb48bd4a,smoke coco scene 172
coco_d7501077a0a60dda2e9c279a,smoke coco scene 220
coco_de9a0be664531eb49b071f72,smoke coco scene 386
coco_8f35c11e5c3e6095f5c2723e,smoke coco scene 201
coco_8055efa4432830f43e6f4a8d,smoke coco scene 399
coco_3fb3d32bfca29ca284dd7e1c,smoke coco scene 311
coco_511e2d9e6da7b5a9492a36f1,smoke coco scene 119
coco_6da908a7c589d093d197f8b5,smoke coco scene 387
coco_3f27f850ccc093b755028bf8,smoke coco scene 37
coco_52e63767b479b9b8e19bcf6d,smoke coco scene 87
coco_ec57a9da3d9a959c0f083e73,smoke coco scene 247
coco_f7962624a52f7bf53f6a38af,smoke coco scene 211
coco_e6490a1701bcf6ce9479f844,smoke coco scene 96
coco_e86ef2fe974145ca8749f6c4,smoke coco scene 257
coco_131be7d8c1d088da8a2e5763,smoke coco scene 46
coco_4c1ed991d7bc7109435640f1,smoke coco scene 356
coco_8f1136514786d674378fe1f4,smoke coco scene 213
coco_e01dbde96eb56b8aac06a029,smoke coco scene 178
coco_83fad408819f4ca0d9c3e0ed,smoke coco scene 390
coco_bebf5f9add035b8179bb24f6,smoke coco scene 323
coco_5d1eadbb83c60c24a94e29a8,smoke coco scene 97
coco_b9127c797feee74f9de5f90c,smoke coco scene 166
coco_658193225f8f1f9c99151cbd,smoke coco scene 400
coco_b55eac44b09cd3483a06b451,smoke coco scene 306
coco_1aea0502435b0b689c526819,smoke coco scene 349
coco_cf9db265a0f36103bbebd392,smoke coco scene 221
coco_0c28d752cbd78487e3f8af41,smoke coco scene 371
coco_ca8912683a2b6a3362361e24,smoke coco scene 361
coco_b5beb7ce08a5b5211fac83bd,smoke coco scene 162
coco_682e4f28fe4a8a88bfdc56fd,smoke coco scene 127
coco_bef715a37ff129c248983c84,smoke coco scene 38
coco_410bee5981d95d5660c25f30,smoke coco scene 203
coco_14a64b73e66f4961ce198a42,smoke coco scene 374
coco_6e938d5762fdd00f8b521c21,smoke coco scene 54
coco_1576016ec1c6e0d442a59fa7,smoke coco scene 199
coco_8a701a0e97517cda30081dfb,smoke coco scene 327
coco_4a3e415566cddfc61daa17d5,smoke coco scene 110
coco_fb3b14a7a0f4ead7ae7b29fe,smoke coco scene 325
coco_41be427f2ce1609a877589a2,smoke coco scene 332
coco_c93127ebd365f993a8905a56,smoke coco scene 261
coco_181762627d5dfc65f5525ed6,smoke coco scene 108
coco_b0d9cfa1694b5417b78f8c6a,smoke coco scene 338
coco_ba0f96b4c1756584a19907c2,smoke coco scene 26
coco_25fa1c295845ff4ae3e8f20a,smoke coco scene 228
coco_36ad1f068347cbdfe44496e0,smoke coco scene 1
coco_4ec1481b2f126f84199d408d,smoke coco scene 240
coco_0fff5674e55a36b662de793b,smoke coco scene 156
coco_dcd4cd5b9af3f351b01d7a2a,smoke coco scene 5
coco_71aa5eece8a6c861d612799c,smoke coco scene 331
coco_52aaa434a4a241aa72284f02,smoke coco scene 330
coco_1d2c0ea2301e0c275886661e,smoke coco scene 214
coco_11fd73b931207ec2956df0de,smoke coco scene 267
coco_3f71883de818760b34c3d4bb,smoke coco scene 132
coco_a6e5811273a45dfddee3610e,smoke coco scene 25
coco_5aae0f1eafec3a28cbb0ad13,smoke coco scene 67
coco_85fc142507d5da667a0dfcd6,smoke coco scene 85
coco_cbfef9aa84b48592e35c3566,smoke coco scene 207
coco_d9aedefc314a31ebf27a4273,smoke coco scene 60
coco_a31b119a06d6d279174a60e7,smoke coco scene 251
coco_9a396225d9e9f872e6a38bea,smoke coco scene 77
coco_ca1e1c201bb45bc2660f5a14,smoke coco scene 180
coco_e4bba4bcc79bc0274cce9d89,smoke coco scene 298
coco_264f693870f957bd1e3fd0c4,smoke coco scene 109
coco_f1ea9fad3307557f93129799,smoke coco scene 273
coco_233f15f62fe7b7930d226c92,smoke coco scene 344
coco_3b57dff2ed916c53d9d2ad62,smoke coco scene 210
coco_5602d38159a517692ca21d6c,smoke coco scene 254
coco_a9a7f68c1a2600d0a22d7a80,smoke coco scene 208
coco_6b5479de9f17db628c6844d2,smoke coco scene 354
coco_dcc965eeb0580a5007c19b07,smoke coco scene 43
coco_624bf74a4863ca6c6547166b,smoke coco scene 121
coco_73f44d4ca651d62e9cce57ab,smoke coco scene 252
coco_e5ff07c31451b536b46f6ab7,smoke coco scene 116
coco_619a8dca373f138c26a2dc61,smoke coco scene 394
coco_00074a1a2220af020aa62433,smoke coco scene 125
coco_4c6a4f00e3b9fb543f2d85df,smoke coco scene 176
coco_5164d320dbe09b115e2c4596,smoke coco scene 89
coco_0d3d1916ce0e38cf9e2260c8,smoke coco scene 334
coco_b674456fb060d2f97a3e4f3b,smoke coco scene 370
coco_b07643a5364cbadab3a1f41e,smoke coco scene 212
coco_17077bf48f448155fda09e5a,smoke coco scene 225
coco_9b9d2a28aef144081cc5b40c,smoke coco scene 277
coco_dc84890ff92e95642e0660a8,smoke coco scene 22
coco_38575f172b58e27094048dd2,smoke coco scene 147
coco_fa351905c7f76aa36327fb00,smoke coco scene 187
coco_a1de2844b50cbdaa6ac1c81a,smoke coco scene 381
coco_27359699c55b6e7b83d2f75e,smoke coco scene 39
coco_5d62fc0a987ffd43b4458707,smoke coco scene 329
coco_1261d4f33df90af0a82cb1e8,smoke coco scene 305
coco_1fee296e47a5d53fd7086cb4,smoke coco scene 345
coco_860184f973319c55d01c9e0f,smoke coco scene 295
coco_2c83a4b8cfbd05b75f599e1e,smoke coco scene 235
coco_313f47c76fe78cb2578eae66,smoke coco scene 52
coco_5fb60767010f4bb98a121c43,smoke coco scene 320
coco_dad32b7cb8a5d98531ed77a2,smoke coco scene 281
coco_fb97d33f3c3fcbe5ef4b98b2,smoke coco scene 73
coco_01a25cf6e10cd9656721178a,smoke coco scene 27
coco_558e3a5afb2d9547ba1705ad,smoke coco scene 301
coco_2712c26923726d7f785745d0,smoke coco scene 10
coco_f289f278c099f135aa1ccf61,smoke coco scene 263
coco_01568e48b46c627a7a9389f4,smoke coco scene 59
coco_481719dc9aa06129789ea599,smoke coco scene 369
coco_40eb1adb1656113a2c14853f,smoke coco scene 353
coco_c14c189517fc3e58d40bc355,smoke coco scene 224
coco_8fa1d38206085e7cb052908c,smoke coco scene 114
coco_ca58c46ff7dab418f641d07f,smoke coco scene 392
coco_53b7e8b71f3bf1491b923ee6,smoke coco scene 106
coco_32439151c02f1aaa31f8270c,smoke coco scene 191
coco_1994078b6e3a9d7e2c722120,smoke coco scene 107
coco_1968b9eb975ddeaefc18fc4a,smoke coco scene 169
coco_576cbdc27c655c8e6bb2ade6,smoke coco scene 357
coco_6a20f29d8fe50674ddcc50df,smoke coco scene 105
coco_1f98709fbd0f52d0d6699306,smoke coco scene 271
coco_7ed472a5861adad683e19953,smoke coco scene 15
coco_6d5569eabf9442354cb89db9,smoke coco scene 35
coco_05179233df154d86d3025191,smoke coco scene 92
coco_92e7c35bb12b4991973ec020,smoke coco scene 142
coco_bd8a5e9cf00a7f4dbf75e8c2,smoke coco scene 232
coco_b55b89ed79d7c018af83aa8a,smoke coco scene 6
coco_c7126760f9c2f9f60f984844,smoke coco scene 21
coco_f5bbb2ffb9039f833ca39b36,smoke coco scene 241
coco_5561f1f094ef672eccfe8add,smoke coco scene 231
coco_81a3ea96738bf3a70614f78b,smoke coco scene 138
coco_7f4b705470f4b973e2805eec,smoke coco scene 68
coco_84ae5b76ea93caa3a9757522,smoke coco scene 91
coco_375158d76bf1c8271596d2e3,smoke coco scene 185
coco_9de64babfa45abefd8dc4365,smoke coco scene 182
coco_557741d47ba9212a2e19f62c,smoke coco scene 373
coco_b609111cb64ce243030c4d64,smoke coco scene 312
coco_776627e2b4060728d6239fe8,smoke coco scene 2
coco_e8e44bf4700319801dd76209,smoke coco scene 223
coco_420af2bac80c730d6bf37319,smoke coco scene 268
coco_30c1ea047de583f7a1eb3771,smoke coco scene 308
coco_f472d7d975f52b1e355f0fcb,smoke coco scene 246
coco_86d636984e27ef14b3207c25,smoke coco scene 258
coco_2724b00b50b1752f2b306ece,smoke coco scene 395
coco_a93639a7c525ef52f8c2e836,smoke coco scene 31
coco_23214e21465d71217a4b5141,smoke coco scene 239
coco_292e7db1e04e7053ae7cbd07,smoke coco scene 55
coco_63299ac603a538cf9df8c31f,smoke coco scene 161
coco_c63eb8341b40cbf2cb03b550,smoke coco scene 250
coco_ba8be47a703bdca9f245dbcd,smoke coco scene 163
coco_62ec6aa106e785e56debf1a3,smoke coco scene 33
coco_b0a72eafe83b1dbff8aa78ad,smoke coco scene 304
coco_f4150b22ab2f710979df692d,smoke coco scene 313
coco_078f79534b00353c40bb51f6,smoke coco scene 131
coco_edca9ec4577e35fcdb7507e7,smoke coco scene 160
coco_b4557f56c2556e8b32215213,smoke coco scene 226
coco_5090139b8f07333d5aa74db4,smoke coco scene 122
coco_f9d48900c80353107963614b,smoke coco scene 229
coco_49f26c4651768574c11445f6,smoke coco scene 104
coco_67905b9f12adbb41e7edd26a,smoke coco scene 171
coco_ca4cdb34544399eb3e814c88,smoke coco scene 167
coco_3273e89ad629e387f43e193f,smoke coco scene 209
coco_7f77edb50126cf98eead4a1f,smoke coco scene 266
coco_01cd7822c336ab5a7af1ad5f,smoke coco scene 20
coco_13e694af2c447435ada21b92,smoke coco scene 65
coco_bec44592ae2753faab598438,smoke coco scene 57
coco_bdc0046368865e9dfe11f407,smoke coco scene 315
coco_43c8b5946a8f66d619cc6c62,smoke coco scene 292
coco_7b16734d0d2d306528fb29bb,smoke coco scene 134
coco_d7d39044f9c4bcbb653f5b50,smoke coco scene 289
coco_abc95ad742e4cae1c426f4ec,smoke coco scene 279
coco_114aaf48468923771d8c4a0d,smoke coco scene 202
coco_249a1d75bbaa424a5009c20e,smoke coco scene 205
coco_a9a21bfd71b8b3c55a6e0af0,smoke coco scene 83
coco_8549fe91bfd326248e79d499,smoke coco scene 282
coco_fd745e2429b112ee2c7cefe1,smoke coco scene 128
coco_77f1dac8b5fcfd1bdcafae58,smoke coco scene 170
coco_2e4cac113056767e41ee96d1,smoke coco scene 145
coco_20a010831d73e108d76f7e83,smoke coco scene 245
coco_ebcea68fc181e7454ca06c7f,smoke coco scene 396
coco_337fa8ab96ff635b02467db2,smoke coco scene 244
coco_26f49f591801548fdb7869a9,smoke coco scene 137
coco_4165853bb3357b77658fe87e,smoke coco scene 129
coco_fe086d033e05de9d95b631c7,smoke coco scene 86
coco_b24f234ef2eedc930000fb38,smoke coco scene 146
coco_dcaac9db46ee87b1c773d631,smoke coco scene 154
coco_1f732a53f0847ba6ea3c5b9f,smoke coco scene 253
coco_b3c6c3161aa1d310fbc43251,smoke coco scene 319
coco_08fe7af157c4e40b77845c01,smoke coco scene 30
coco_5089b3e8ee7aaf7968130d35,smoke coco scene 140
coco_334e8645b6492e488d03b509,smoke coco scene 84
coco_0f7ef3da9ae7b952ed6a6664,smoke coco scene 297
coco_2239a3a119d1daebe0b5c453,smoke coco scene 262
coco_f3a4b04bb592194b0db9d115,smoke coco scene 368
coco_037e8e2c96ce19ed86c0ca83,smoke coco scene 148
coco_eb3db350fd24c1b3d584e559,smoke coco scene 363
coco_403fcdca70983fe73e2fd75c,smoke coco scene 238
coco_4ba2fa8eb1a89a27cdfa1bf7,smoke coco scene 383
coco_a916e8cabc515026ee65e6de,smoke coco scene 206
coco_1f270c080111761b585e41a2,smoke coco scene 70
coco_d09c3bb7e2eefb47fecb16b6,smoke coco scene 379
coco_86987f69453f16ff839ef38d,smoke coco scene 293
coco_a8ae564cebe5018005ced088,smoke coco scene 75
coco_f1372472c15898c394474c0e,smoke coco scene 28
coco_1dd241579860f3b6f22d5132,smoke coco scene 189
coco_7f6515bfe858d83bf1103bf8,smoke coco scene 135
coco_892a20d60a9b1816467225fc,smoke coco scene 118
coco_b08d4dadca3a57c4f822e398,smoke coco scene 352
coco_0eadf7b6fd1adcb79820f99f,smoke coco scene 272
coco_1db4168d3ac44142fd8bf684,smoke coco scene 183
coco_0891cbf1aa71ff7807f4a4be,smoke coco scene 343
coco_358c26ba7e42542e6c323de4,smoke coco scene 117
openimages_d9a12fb67b727ac02c2a833c,smoke open image 119
openimages_af78013dc031a399109c5cd0,smoke open image 149
openimages_6b9c0497e88efcafb877e849,smoke open image 353
openimages_408138e3a896a9990cb1ebe8,smoke open image 359
openimages_bc4b087b25810f795ad948c4,smoke open image 78
openimages_317af6bb5db73a387cb27e14,smoke open image 244
openimages_a88ecd284beddeb5771bbc35,smoke open image 326
openimages_2a51b62bddd7b9ab057de1c3,smoke open image 97
openimages_b2166c8b895d25ac37ce0366,smoke open image 187
openimages_932e3f1895d9b60bbfbe4178,smoke open image 139
openimages_2256ef7a9706fab9d21de1bc,smoke open image 351
openimages_92016e13951603231c09837f,smoke open image 392
openimages_bf688c7a0f2574ef8585f8e5,smoke open image 219
openimages_10c95adc5ca63ae1eb8bbd9e,smoke open image 137
openimages_2bc137c2ba6c15cbf02e9db6,smoke open image 253
openimages_ae7d4e20d24d1ab2e76c36c7,smoke open image 138
openimages_85d7ce918f1408bba3cd3e8b,smoke open image 268
openimages_137e8bb15c991a7f0b134401,smoke open image 193
openimages_6a2a47466f07923a57f74d9e,smoke open image 347
openimages_b4c59f67038db9d57adcc842,smoke open image 188
openimages_1872866c8d952aafc9c1366e,smoke open image 214
openimages_1fd0cfcc0b42f3b13baa27d5,smoke open image 330
openimages_45d13b6dc2f2fd09107b2668,smoke open image 380
openimages_450019dd2c826e8b123acbf7,smoke open image 116
openimages_85837746efaf73c6bc16e4c2,smoke open image 189
openimages_33c82189fda1365609840754,smoke open image 237
openimages_1fa4fabcf1d0a839aeebc776,smoke open image 373
openimages_a8a31ff016fdcf7e0807fd91,smoke open image 349
openimages_04f423c5e6176171162e2305,smoke open image 103
openimages_1edf14f962976e87dfdb606f,smoke open image 134
openimages_968df80b67707a0534df3208,smoke open image 132
openimages_bff7da60462938e08b7115a7,smoke open image 159
openimages_013a2dbe5e8e046f9c0ff662,smoke open image 81
openimages_75ac99add07220da679a3c28,smoke open image 18
openimages_b0725dad8bfe7fb95ba70926,smoke open image 258
openimages_809b48c4f63de358117dce13,smoke open image 90
openimages_a2c634575a97dab723370a25,smoke open image 329
openimages_c450eb7b9aef894e61168fcd,smoke open image 83
openimages_1777ff3c9572e58de57b62c3,smoke open image 208
openimages_65ae507205341d17f98b5ea8,smoke open image 25
openimages_ce6d6ef0c7b640cc544e7d9c,smoke open image 44
openimages_b241158c6d40b4e74eeebbe4,smoke open image 85
openimages_4cb97b1706cb146bd1c09efc,smoke open image 364
openimages_28293b0f6ace5c1d734aaa07,smoke open image 323
openimages_5402de449c8a7ee1dfe15511,smoke open image 202
openimages_1a0386bdfb7948e389e4efd2,smoke open image 300
openimages_2f0581fd169debd65f16ff89,smoke open image 135
openimages_e69c0984adcd1b476879df2f,smoke open image 226
openimages_3340cf2222be9dcd0863c1ac,smoke open image 32
openimages_04a543caa5a15bf32ab6ccd0,smoke open image 0
openimages_c3bb5e04282aa153c692e609,smoke open image 168
openimages_0f674b9e2d24d7ac616eaafb,smoke open image 55
openimages_c7152d520ae760d9af86a343,smoke open image 94
openimages_d49e0fa177cc40de186e915e,smoke open image 222
openimages_28d357ab0fd668cca40336e6,smoke open image 375
openimages_37dea7ba084f8b80fae94dc6,smoke open image 309
openimages_24b2a532bd6a8b43dd3d88c8,smoke open image 190
openimages_da7b034cf542df2e3c3cc19a,smoke open image 67
openimages_ea49996d2a5409e3d10c2b6c,smoke open image 131
openimages_d4f55fde8241fee8b6f63333,smoke open image 128
openimages_7b33433303d8c9390a09b0a8,smoke open image 354
openimages_bb38f6f5fa822754a37ada7f,smoke open image 243
openimages_ffd7a830a30bb48f9680a1aa,smoke open image 220
openimages_3251baf5d80ca2d27458fe22,smoke open image 249
openimages_1351bd5b6d9c1221443c5e16,smoke open image 293
openimages_594fa14da6732fcef6c7def0,smoke open image 261
openimages_0724acac86d31f6da3425ab1,smoke open image 274
openimages_a491c792f752b81e06a1def4,smoke open image 73
openimages_d5ae015a67c657d5333cc6c1,smoke open image 183
openimages_987276df6b9f9206ed08cdfe,smoke open image 133
openimages_4ece3062ebbbb11ce1abde41,smoke open image 52
openimages_44d4ab6bd23cd99b9c8fbdd8,smoke open image 350
openimages_af32a94d8771e9f47e322d5f,smoke open image 259
openimages_5cc36428797376c27fcbb4d7,smoke open image 161
openimages_4f3f787cb490a24814971eb6,smoke open image 335
openimages_c2c4354d3f3ae3ec2ed0927d,smoke open image 171
openimages_7d8e5d6b9a8e11db3e464178,smoke open image 33
openimages_6d2c495946baa0a6f7d53826,smoke open image 238
openimages_a9777025cb552c2398e79d85,smoke open image 42
openimages_3846a99f56519ce2b028c9c2,smoke open image 88
openimages_0b3fe07d92951200755f4fa4,smoke open image 352
openimages_e22138572887af786d51de6e,smoke open image 362
openimages_b0fab93afc41b2a3b7604dea,smoke open image 200
openimages_556652cd8d9eae6606d8d2bf,smoke open image 185
openimages_64469c04f4ab39724ae72189,smoke open image 197
openimages_4714cfa0dc2567fb689db7b2,smoke open image 76
openimages_a706b16bbcb6030f4a259f96,smoke open image 355
openimages_1a02146db4b5434ad9a657bc,smoke open image 254
openimages_73957c3c572d39339f2ba2b9,smoke open image 50
openimages_1148c9cb6bad3eb8e16661b2,smoke open image 186
openimages_94ee3b1045f3400d73fa0909,smoke open image 269
openimages_2fa5f4b02430d4b35e887b6b,smoke open image 35
openimages_65ecd0155bb8343328c322df,smoke open image 63
openimages_ed335f88fbff99c799df15af,smoke open image 320
openimages_e136dd31d3bab5eed2b48c6c,smoke open image 384
openimages_b689af5e2dcc9f7f866491f6,smoke open image 107
openimages_3b54fcaa3e987732b2816bc2,smoke open image 397
openimages_27da763486829598c7a82729,smoke open image 108
openimages_63f4ce730e10c24b7da31f86,smoke open image 302
openimages_d0165d238a2e749d764d6802,smoke open image 95
openimages_ca9f114ee16e0a1122c7082d,smoke open image 101
openimages_f80531be53f827ce62f479a3,smoke open image 281
openimages_4af79b4d42a0f30e7dfb8a70,smoke open image 393
openimages_e53c3d5284839e76ccf746e5,smoke open image 16
openimages_91268a32036ec07d1063513e,smoke open image 41
openimages_095cd10c4e9ba216ab2d12ca,smoke open image 295
openimages_8d6809b0682dd9dcc7af2814,smoke open image 391
openimages_3b929b34b94f1d7069e44b62,smoke open image 313
openimages_e3ab032502e1f89adb88dc5d,smoke open image 291
openimages_da448870193ca64d5dabbb4d,smoke open image 102
openimages_b030148fbf1d7cb8baab5403,smoke open image 337
openimages_0f2c9373e27f62977d8f0020,smoke open image 267
openimages_7c1e76e1b956b8aec754566d,smoke open image 273
openimages_c5a2ef4410974b8bef86dd97,smoke open image 301
openimages_91f7e0db27992bf331d5cce3,smoke open image 241
openimages_4270eac4ee215b7859c1e413,smoke open image 240
openimages_9d803bb9af9f2e8e2760c5b6,smoke open image 105
openimages_6a4ac4d8c9840d9cee069677,smoke open image 316
openimages_0aa6eb3af6a8899116a8d7b0,smoke open image 390
openimages_064aad0044745fb8b17d43a3,smoke open image 224
openimages_e873211a5612b33bff49652b,smoke open image 34
openimages_fa54d22697863ad56f8bfe56,smoke open image 84
openimages_c2597efe2c3917b4484c0293,smoke open image 228
openimages_21ce65edb5c64e76c3d959d9,smoke open image 142
openimages_80d4254c5a4cba0ba64cbbc9,smoke open image 283
openimages_955d30a8ebf87f44a42b325f,smoke open image 106
openimages_888f999d99d81f249abf8264,smoke open image 144
openimages_ee9490635d4d0a9287d01079,smoke open image 332
openimages_32395eee91ecd33d6a2c6159,smoke open image 374
openimages_ac8fcb62b482b8a57ec3201a,smoke open image 296
openimages_7c1e02394555f34e150d0978,smoke open image 173
openimages_987a9eeb344cb1d3eae4e514,smoke open image 10
openimages_aba291f7cd27a8129e86ad8c,smoke open image 379
openimages_bd0d2a30d6bc8bec73eb6f76,smoke open image 370
openimages_ea5040fab0ccacb010db1ae3,smoke open image 275
openimages_3bd8ef7a7f5932fec37f863e,smoke open image 213
